SectionID,Latitude,Longitude,OHEMas
DPH-DURG,21.9614,82.0767,734/9   
DPH-DURG,21.9610,82.0764,734/11  
DPH-DURG,21.9606,82.0760,734/13  
DPH-DURG,21.9602,82.0756,734/15  
DPH-DURG,21.9597,82.0753,734/17  
DPH-DURG,21.9593,82.0749,734/19  
DPH-DURG,21.9591,82.0747,734/21  
DPH-DURG,21.9587,82.0744,734/23  
DPH-DURG,21.9584,82.0742,734/25  
DPH-DURG,21.9581,82.0739,734/27  
DPH-DURG,21.9576,82.0735,734/29  
DPH-DURG,21.9573,82.0732,734/31  
DPH-DURG,21.9569,82.0729,734/33  
DPH-DURG,21.9565,82.0726,734/35A 
DPH-DURG,21.9561,82.0723,735/1A/1
DPH-DURG,21.9557,82.0721,735/1A  
DPH-DURG,21.9554,82.0719,735/3A  
DPH-DURG,21.9550,82.0716,735/5A  
DPH-DURG,21.9545,82.0714,735/7   
DPH-DURG,21.9541,82.0712,735/9   
DPH-DURG,21.9536,82.0710,735/11  
DPH-DURG,21.9531,82.0709,735/13  
DPH-DURG,21.9526,82.0707,735/15  
DPH-DURG,21.9521,82.0707,735/17  
DPH-DURG,21.9516,82.0706,735/19  
DPH-DURG,21.9510,82.0705,735/21  
DPH-DURG,21.9504,82.0705,735/23  
DPH-DURG,21.9498,82.0705,735/25  
DPH-DURG,21.9491,82.0705,735/27  
DPH-DURG,21.9485,82.0704,735/29  
DPH-DURG,21.9478,82.0705,735/31  
DPH-DURG,21.9472,82.0704,736/1   
DPH-DURG,21.9466,82.0704,736/3   
DPH-DURG,21.9460,82.0704,736/5   
DPH-DURG,21.9453,82.0703,736/7   
DPH-DURG,21.9447,82.0703,736/9   
DPH-DURG,21.9441,82.0703,736/11  
DPH-DURG,21.9434,82.0703,736/13  
DPH-DURG,21.9427,82.0702,736/15  
DPH-DURG,21.9421,82.0702,736/17  
DPH-DURG,21.9415,82.0702,736/19  
DPH-DURG,21.9408,82.0702,736/21  
DPH-DURG,21.9401,82.0702,736/23  
DPH-DURG,21.9395,82.0702,736/25  
DPH-DURG,21.9389,82.0701,736/27  
DPH-DURG,21.9383,82.0701,737/1   
DPH-DURG,21.9376,82.0701,737/3   
DPH-DURG,21.9370,82.0700,737/5   
DPH-DURG,21.9363,82.0700,737/7   
DPH-DURG,21.9357,82.0700,737/9   
DPH-DURG,21.9350,82.0700,737/11  
DPH-DURG,21.9344,82.0700,737/13  
DPH-DURG,21.9338,82.0699,737/15  
DPH-DURG,21.9331,82.0699,737/17  
DPH-DURG,21.9324,82.0699,737/19  
DPH-DURG,21.9318,82.0699,737/21  
DPH-DURG,21.9311,82.0699,737/23  
DPH-DURG,21.9305,82.0698,737/25  
DPH-DURG,21.9298,82.0698,737/27  
DPH-DURG,21.9292,82.0698,738/1   
DPH-DURG,21.9285,82.0698,738/3   
DPH-DURG,21.9279,82.0698,738/5   
DPH-DURG,21.9272,82.0697,738/7   
DPH-DURG,21.9266,82.0697,738/9   
DPH-DURG,21.9259,82.0697,738/11  
DPH-DURG,21.9253,82.0697,738/13  
DPH-DURG,21.9246,82.0696,738/15  
DPH-DURG,21.9240,82.0696,738/17  
DPH-DURG,21.9233,82.0696,738/19  
DPH-DURG,21.9227,82.0696,738/21  
DPH-DURG,21.9220,82.0696,738/23  
DPH-DURG,21.9214,82.0695,738/25  
DPH-DURG,21.9207,82.0695,738/27  
DPH-DURG,21.9201,82.0695,739/1   
DPH-DURG,21.9194,82.0695,739/3   
DPH-DURG,21.9188,82.0695,739/5   
DPH-DURG,21.9181,82.0694,739/7   
DPH-DURG,21.9175,82.0694,739/9   
DPH-DURG,21.9168,82.0694,739/11  
DPH-DURG,21.9162,82.0694,739/13  
DPH-DURG,21.9155,82.0693,739/15  
DPH-DURG,21.9150,82.0693,739/17N 
DPH-DURG,21.9149,82.0693,739/17  
DPH-DURG,21.9146,82.0693,739/17N1
DPH-DURG,21.9142,82.0693,739/19  
DPH-DURG,21.9141,82.0693,739/19N 
DPH-DURG,21.9136,82.0693,739/21N 
DPH-DURG,21.9136,82.0693,739/21  
DPH-DURG,21.9131,82.0693,739/23  
DPH-DURG,21.9126,82.0693,739/25  
DPH-DURG,21.9123,82.0692,739/27  
DPH-DURG,21.9117,82.0692,739/29  
DPH-DURG,21.9112,82.0693,740/3N  
DPH-DURG,21.9109,82.0692,740/3N/1
DPH-DURG,21.9103,82.0692,740/3N/2
DPH-DURG,21.9103,82.0692,740/3   
DPH-DURG,21.9098,82.0692,740/5   
DPH-DURG,21.9091,82.0692,740/7   
DPH-DURG,21.9085,82.0692,740/9   
DPH-DURG,21.9078,82.0691,740/11  
DPH-DURG,21.9072,82.0691,740/13  
DPH-DURG,21.9065,82.0690,740/15  
DPH-DURG,21.9059,82.0690,740/17  
DPH-DURG,21.9052,82.0690,740/19  
DPH-DURG,21.9046,82.0690,740/21  
DPH-DURG,21.9041,82.0690,740/23N 
DPH-DURG,21.9036,82.0689,740/25N 
DPH-DURG,21.9031,82.0689,740/27N 
DPH-DURG,21.9026,82.0689,740/29N 
DPH-DURG,21.9022,82.0689,740/31N 
DPH-DURG,21.9017,82.0689,740/33  
DPH-DURG,21.9011,82.0689,741/1A  
DPH-DURG,21.9006,82.0689,741/3N  
DPH-DURG,21.9002,82.0689,741/5A  
DPH-DURG,21.8997,82.0689,741/7A  
DPH-DURG,21.8993,82.0690,741/9A  
DPH-DURG,21.8987,82.0691,741/9A/1
DPH-DURG,21.8982,82.0691,741/9A/2
DPH-DURG,21.8976,82.0692,741/11A 
DPH-DURG,21.8971,82.0693,741/13A 
DPH-DURG,21.8965,82.0694,741/15A 
DPH-DURG,21.8960,82.0694,741/17A 
DPH-DURG,21.8955,82.0695,741/19A 
DPH-DURG,21.8949,82.0696,741/21A 
DPH-DURG,21.8944,82.0697,741/21A/
DPH-DURG,21.8939,82.0698,741/23A/
DPH-DURG,21.8933,82.0698,742/1A/1
DPH-DURG,21.8928,82.0699,742/1A  
DPH-DURG,21.8922,82.0700,742/3A  
DPH-DURG,21.8916,82.0701,742/5A  
DPH-DURG,21.8911,82.0702,742/7A  
DPH-DURG,21.8905,82.0702,742/9A  
DPH-DURG,21.8899,82.0703,742/11A 
DPH-DURG,21.8894,82.0704,742/13A 
DPH-DURG,21.8889,82.0705,742/13A/
DPH-DURG,21.8883,82.0706,742/15A 
DPH-DURG,21.8877,82.0706,742/17A 
DPH-DURG,21.8872,82.0707,742/19A 
DPH-DURG,21.8866,82.0708,742/21A 
DPH-DURG,21.8860,82.0709,742/23A 
DPH-DURG,21.8855,82.0710,742/25A 
DPH-DURG,21.8850,82.0710,742/25A/
DPH-DURG,21.8845,82.0711,742/27A 
DPH-DURG,21.8840,82.0712,743/1A  
DPH-DURG,21.8834,82.0713,743/3A  
DPH-DURG,21.8828,82.0713,743/5A  
DPH-DURG,21.8823,82.0714,743/7A  
DPH-DURG,21.8817,82.0715,743/9A  
DPH-DURG,21.8811,82.0716,743/11A 
DPH-DURG,21.8806,82.0716,743/13A 
DPH-DURG,21.8801,82.0717,743/15A 
DPH-DURG,21.8797,82.0717,743/17A 
DPH-DURG,21.8792,82.0717,743/17A/
DPH-DURG,21.8788,82.0718,743/19A 
DPH-DURG,21.8783,82.0717,743/21A 
DPH-DURG,21.8779,82.0717,743/23A 
DPH-DURG,21.8775,82.0717,743/25A 
DPH-DURG,21.8770,82.0717,743/25A/
DPH-DURG,21.8765,82.0717,743/27A 
