SectionID,Latitude,Longitude,Altitude,OHEMas,EngFeature,TRDFeature,PWI,Division,Remark,Satellites,ModifiedDate
DURG-BPTP,21.2599,81.35433167,313,980/1   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.2295,81.353825,312,980/2   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.2034,81.35339,314,980/3   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.184,81.35306667,315,980/4   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.1632,81.35272,313,980/5   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.144,81.3524,313,980/6   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.1267,81.35211167,312,980/7   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.1081,81.35180167,312,980/8   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.0868,81.35144667,311,980/9   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.065,81.35108333,313,980/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.0434,81.35072333,313,980/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.0231,81.350385,316,980/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21,81.35,316,980/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.9637,81.349395,314,980/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.963,81.34938333,312,980/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.8938,81.34823,311,980/16  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.8576,81.34762667,311,980/17  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.8214,81.34702333,311,980/18  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.785,81.34641667,310,980/19  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.7525,81.345875,312,981/1   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.7133,81.34522167,310,981/2   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.6787,81.344645,309,981/3   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.6406,81.34401,307,981/4   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.6092,81.34348667,306,981/5   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.582,81.34303333,307,981/6   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5555,81.34259167,307,981/7   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5297,81.34216167,311,981/8   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.5016,81.34169333,306,981/9   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4773,81.34128833,307,981/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4438,81.34073,305,981/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.4105,81.340175,305,981/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.3744,81.33957333,307,981/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.3382,81.33897,310,981/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.3059,81.33843167,314,981/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.2764,81.33794,308,981/16  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.2441,81.33740167,309,982/1   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.209,81.33681667,306,982/2   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1765,81.336275,308,982/3   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1417,81.335695,308,982/4   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.1065,81.33510833,309,982/5   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.0707,81.33451167,308,982/6   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.0365,81.33394167,303,982/7   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,20.0017,81.33336167,304,982/8   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.97,81.33283333,305,982/9   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.933,81.33221667,306,982/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8969,81.331615,306,982/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8692,81.33115333,303,982/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8371,81.33061833,303,982/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.8002,81.33000333,302,982/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7654,81.32942333,302,982/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.7326,81.32887667,301,982/16  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.6989,81.328315,301,983/1   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.6662,81.32777,300,983/2   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.6346,81.32724333,300,983/3   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.6057,81.32676167,299,983/4   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.577,81.32628333,299,983/5   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.5536,81.32589333,298,983/6   ,,,,RAIPUR,,10,10/04/2024
